Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Sam Ryder,-,-,-,-,-,21,43,25,-,36,-,59,-,-,-,-,-,-,-,53,8,9,-,21,100/1,Bet 365,Further details
An Byeong-Hun,-,-,-,-,32,MC,-,-,22,73,MC,-,-,-,-,-,-,5,36,4,MC,-,21,21,35/1,Bet 365,Further details
Bud Cauley,-,-,-,-,-,30,-,-,-,21,-,-,-,-,-,-,27,WD,12,42,-,-,-,21,66/1,Bet 365,Further details
Nicolas Echavarria,-,-,-,-,32,2,MC,-,77,MC,34,-,-,-,-,-,-,-,-,-,-,-,MC,21,70/1,Bet 365,Further details
Zach Johnson,-,-,-,-,-,21,MC,48,-,-,-,-,-,33,MC,MC,27,-,59,67,8,MC,12,21,175/1,Bet 365,Further details
Chan Kim,-,-,-,-,-,53,MC,42,-,MC,-,17,,-,-,-,-,-,-,-,-,-,-,28,110/1,Bet 365,Further details
Jacob Bridgeman,-,-,-,-,-,MC,21,MC,-,MC,-,34,-,-,-,-,-,-,-,-,-,-,-,28,110/1,Bet 365,Further details
C.T. Pan,-,-,-,-,-,21,-,-,-,57,-,68,-,-,-,-,37,17,MC,MC,3,16,-,28,80/1,Bet 365,Further details
Chris Kirk,-,-,-,-,44,MC,34,-,62,MC,-,-,-,12,MC,MC,-,33,MC,MC,25,7,1,28,66/1,Bet 365,Further details
Matthieu Pavon,-,17,-,-,48,-,-,MC,73,63,44,-,-,-,-,-,-,-,-,-,-,-,-,28,250/1,Bet 365,Further details
Tom Hoge,-,-,-,-,8,45,29,-,17,MC,54,-,-,-,-,37,-,MC,MC,MC,MC,-,-,28,100/1,Bet 365,Further details
Beau Hossler,-,-,-,-,-,-,12,15,69,32,-,MC,-,-,-,-,-,-,-,38,60,16,-,28,66/1,Bet 365,Further details
Chad Ramey,-,-,-,-,-,MC,MC,48,-,MC,-,34,-,-,-,-,-,-,-,-,-,MC,MC,35,250/1,Bet 365,Further details
Lucas Glover,-,-,-,-,-,21,MC,-,3,MC,31,-,-,MC,MC,MC,21,17,4,MC,19,30,-,35,50/1,Bet 365,Further details
Christopher Gotterup,-,-,-,-,46,MC,MC,25,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,35,200/1,Bet 365,Further details
Ryan Fox,-,-,-,-,-,-,10,27,-,63,-,MC,-,-,-,-,-,-,-,-,-,-,-,35,125/1,Bet 365,Further details
David Lipsky,-,-,-,-,-,45,MC,WD,-,MC,-,76,-,-,-,-,-,-,-,-,-,55,-,41,500/1,Bet 365,Further details
Rickie Fowler,-,-,-,-,-,-,21,-,53,WD,39,-,-,24,41,6,1,MC,2,MC,65,42,-,41,50/1,Bet 365,Further details
Russell Henley,-,19,-,-,30,10,-,-,5,-,39,-,-,1,44,MC,43,24,20,8,3,-,-,41,20/1,Bet 365,Further details
Vincent Norrman,-,-,-,-,-,37,29,40,-,71,-,75,-,-,-,-,-,-,-,-,-,-,63,47,225/1,Bet 365,Further details
Davis Thompson,-,-,-,-,36,MC,51,-,58,36,13,-,-,-,-,-,-,-,-,-,-,-,-,47,40/1,Bet 365,Further details
Max Greyserman,-,-,-,-,24,-,7,48,WD,49,24,-,-,-,-,-,-,-,-,-,-,-,-,47,40/1,Bet 365,Further details
Mac Meissner,-,-,-,-,-,21,68,52,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,53,110/1,Bet 365,Further details
Greyson Sigg,-,-,-,-,-,70,MC,9,-,32,-,17,-,-,-,-,-,-,-,-,-,MC,MC,56,110/1,Bet 365,Further details
Adam Schenk,-,-,-,-,-,6,WD,25,-,25,-,-,-,-,-,-,-,29,30,MC,36,MC,42,56,100/1,Bet 365,Further details
Carson Young,-,-,-,-,-,MC,29,MC,-,57,-,MC,-,-,-,-,-,-,-,-,-,-,29,56,200/1,Bet 365,Further details
Rico Hoey,-,-,-,-,-,59,58,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,56,200/1,Bet 365,Further details
Taylor Montgomery,-,-,-,-,-,65,58,MC,-,69,-,45,-,-,-,-,-,-,-,-,-,-,-,60,500/1,Bet 365,Further details
Davis Riley,-,-,-,-,WD,-,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,42,29,62,500/1,Bet 365,Further details
Mark Hubbard,-,-,-,-,-,21,12,68,73,MC,MC,-,-,-,-,65,MC,-,-,11,46,15,42,64,150/1,Bet 365,Further details
Camilo Villegas,-,-,-,-,-,MC,7,MC,-,44,-,-,-,41,16,14,MC,68,-,MC,8,MC,MC,67,300/1,Bet 365,Further details
Brian Campbell,-,-,-,-,-,WD,51,MC,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Aldrich Potgieter,-,2,42,-,-,MC,MC,15,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Isaiah Salinda,-,-,-,-,-,MC,MC,42,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Nicolai Hojgaard,-,24,-,-,-,-,65,-,-,36,-,8,-,-,-,-,-,-,-,-,-,MC,-,-,60/1,Bet 365,Further details
Danny Walker,-,-,-,-,-,MC,MC,42,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Henrik Norlander,-,-,-,-,-,37,MC,MC,-,MC,-,13,-,-,-,-,-,-,-,MC,MC,-,MC,-,250/1,Bet 365,Further details
John Pak,-,-,-,-,-,MC,MC,56,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Kevin Roy,-,-,-,-,-,45,18,WD,-,-,-,17,-,-,-,-,-,-,-,-,-,-,29,-,90/1,Bet 365,Further details
Ryan Gerard,-,-,-,-,-,37,51,15,-,-,-,17,-,-,-,-,-,-,-,-,-,-,4,-,66/1,Bet 365,Further details
Steven Fisk,-,-,-,-,-,MC,MC,63,-,MC,-,17,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Jeremy Paul,-,-,-,-,-,45,64,MC,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Kristoffer Ventura,-,-,-,-,-,-,58,4,-,49,-,25,-,-,-,-,-,-,-,-,MC,-,-,-,125/1,Bet 365,Further details
Lanto Griffin,-,-,-,-,-,MC,34,9,-,MC,-,25,-,-,-,-,-,MC,-,-,-,-,-,-,TBC,Bet 365,Further details
Max Mcgreevy,-,-,-,-,-,MC,MC,WD,-,MC,-,25,-,-,-,-,-,-,-,-,-,MC,MC,-,175/1,Bet 365,Further details
Patrick Rodgers,-,-,-,-,-,MC,70,56,22,MC,3,25,-,-,44,MC,MC,33,30,21,MC,64,-,-,50/1,Bet 365,Further details
Quade Cummins,-,-,-,-,-,MC,34,MC,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Niklas Norgaard Moller,-,48,-,-,-,-,4,MC,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,70/1,Bet 365,Further details
Rafael Campos,-,-,-,-,57,MC,MC,MC,-,MC,-,34,-,-,-,-,-,-,-,-,MC,-,-,-,1000/1,Bet 365,Further details
Taylor Moore,-,-,-,-,-,MC,7,56,22,9,-,34,-,-,-,-,-,-,-,-,-,MC,-,-,55/1,Bet 365,Further details
Andrew Putnam,-,-,-,-,-,30,MC,32,-,25,-,49,-,-,MC,-,-,MC,-,-,-,-,-,-,125/1,Bet 365,Further details
Jesper Svensson,-,36,-,-,-,10,MC,MC,-,63,-,49,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Noah Goodwin,-,-,-,-,-,MC,MC,63,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Antoine Rozner,-,-,-,MC,-,-,MC,48,-,4,-,55,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Frankie Capan III,-,-,-,-,-,45,12,56,-,MC,-,55,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Ricky Castillo,-,-,-,-,-,MC,43,15,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Thriston Lawrence,-,14,MC,-,-,-,MC,MC,-,MC,-,59,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Matt McCarty,-,-,-,-,53,65,MC,MC,-,MC,-,63,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Emiliano Grillo,-,-,-,-,-,MC,MC,WD,-,76,-,65,-,-,-,74,43,8,MC,MC,-,-,-,-,300/1,Bet 365,Further details
Mason Andersen,-,-,-,-,-,MC,MC,MC,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Matteo Manassero,-,43,-,-,-,-,43,25,-,-,-,68,-,12,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Thomas Rosenmueller,-,MC^,-,-,-,59,MC,MC,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Karl Vilips,46,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Harry Higgs,11,-,-,-,-,MC,34,63,-,-,-,74,,-,-,-,-,-,-,58,19,MC,MC,-,500/1,Bet 365,Further details
Ben Polland,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Brian Harman,-,12,-,-,58,21,MC,-,53,25,17,-,-,58,11,MC,48,33,MC,47,-,MC,-,-,50/1,Bet 365,Further details
Brice Garnett,-,-,-,-,48,30,34,-,-,67,-,-,-,75,MC,-,-,MC,MC,11,25,MC,55,-,250/1,Bet 365,Further details
Danny Willett,-,21,-,-,-,-,MC,9,-,-,-,-,-,-,-,-,MC,-,-,-,-,48,29,-,275/1,Bet 365,Further details
J.J Spaun,-,-,-,-,-,3,29,15,33,WD,34,-,-,-,-,-,21,MC,-,-,MC,30,-,-,50/1,Bet 365,Further details
Jhonattan Vegas,-,-,-,-,4,-,MC,42,40,-,-,-,-,12,MC,-,4,72,16,27,30,42,21,-,55/1,Bet 365,Further details
Jordan Spieth,-,-,-,-,-,-,-,-,69,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,40/1,Bet 365,Further details
Justin Hicks,-,-,-,-,-,-,-,-,-,-,-,-,-,63,MC,77,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Luke Clanton,-,-,-,-,-,MC,-,15,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55/1,Bet 365,Further details
Luke Donald,-,-,-,-,-,-,MC,-,-,-,-,-,-,8,7,61,27,MC,-,11,MC,MC,MC,-,1500/1,Bet 365,Further details
Mackenzie Hughes,-,6,-,-,-,MC,58,-,40,36,52,-,-,-,-,-,66,59,MC,2,36,48,-,-,80/1,Bet 365,Further details
Seamus Power,-,-,-,-,-,MC,-,-,17,36,24,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,66/1,Bet 365,Further details
Webb Simpson,-,-,-,-,-,16,-,-,-,MC,-,-,-,-,-,-,-,5,36,-,-,-,74,-,250/1,Bet 365,Further details
Braden Thornberry,-,-,-,-,-,MC,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Charley Hoffman,-,-,-,-,-,59,5,25,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,150/1,Bet 365,Further details
Cristobal Del Solar,27,42^,-,-,-,70,MC,66,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Jackson Suber,-,-,-,-,-,6,MC,56,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Kaito Onishi,-,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Kevin Velo,-,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Kurt Kitayama,-,-,-,-,-,37,58,MC,-,49,-,MC,-,-,-,-,-,-,-,47,-,3,-,-,45/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,MC,MC,-,74,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Paul Peterson,-,-,-,-,-,10,MC,WD,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Paul Waring,-,24,-,-,-,-,MC,WD,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Rikuya Hoshino,-,-,-,-,-,MC,43,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Taylor Dickson,-,-,-,-,-,72,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Tim Widing,-,-,-,-,-,WD,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Trevor Cone,-,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,74,-,TBC,Bet 365,Further details
Trey Mullinax,-,-,-,-,-,-,18,MC,-,32,-,MC,-,-,-,-,MC,-,51,-,-,30,-,-,225/1,Bet 365,Further details
Vincent Whaley,-,-,-,-,-,72,64,32,-,MC,-,MC,-,-,-,-,-,-,-,MC,36,MC,-,-,200/1,Bet 365,Further details
Will Chandler,-,-,-,-,-,-,MC,MC,-,6,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
William Gordon,-,-,-,-,-,MC,66,7,-,69,-,MC,-,-,-,-,-,-,-,-,36,-,42,-,300/1,Bet 365,Further details
William Mouw,-,-,-,-,-,MC,MC,66,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Benjamin Griffin,-,-,-,-,-,45,7,MC,69,36,44,4,-,-,-,-,-,-,-,-,-,-,21,MC,50/1,Bet 365,Further details
Joel Dahmen,-,-,-,-,-,MC,MC,9,-,MC,-,6,-,-,-,-,-,33,MC,-,-,-,-,MC,125/1,Bet 365,Further details
Alejandro Tosti,-,-,-,-,-,MC,58,MC,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Alex Smalley,-,-,-,-,-,16,11,MC,-,21,-,10,-,-,-,-,-,-,-,-,-,55,-,MC,50/1,Bet 365,Further details
Ryo Hisatsune,-,55,-,-,-,65,43,MC,-,MC,-,10,-,-,-,-,-,-,-,-,-,-,-,MC,200/1,Bet 365,Further details
Michael Kim,-,-,-,-,-,MC,43,MC,-,2,13,13,-,-,-,53,MC,57,-,-,MC,-,MC,MC,45/1,Bet 365,Further details
Joe Highsmith,-,-,-,-,-,MC,66,MC,-,MC,-,17,-,-,-,-,-,-,-,-,-,-,-,MC,100/1,Bet 365,Further details
Ben Kohles,-,-,-,-,-,53,21,-,-,MC,-,25,-,-,-,-,-,-,-,-,-,MC,-,MC,200/1,Bet 365,Further details
Harry Hall,-,-,-,-,8,10,21,-,58,MC,-,34,-,-,-,-,-,-,-,-,-,-,74,MC,66/1,Bet 365,Further details
Sami Valimaki,-,63,-,-,-,-,MC,15,-,MC,-,34,-,-,-,-,-,-,-,-,-,-,-,MC,500/1,Bet 365,Further details
Ben Martin,-,-,-,-,-,59,MC,-,40^,MC,-,45,-,-,31,72,-,33,-,-,-,-,5,MC,150/1,Bet 365,Further details
Francesco Molinari,-,-,-,-,-,-,MC,MC,-,-,-,49,-,-,MC,65,14,-,-,-,-,-,-,MC,350/1,Bet 365,Further details
Thorbjorn Olesen,-,5,-,-,-,-,31,27,MC,-,-,49,-,MC,-,-,-,-,-,-,-,-,-,MC,80/1,Bet 365,Further details
Adam Svensson,-,-,-,-,-,30,MC,MC,-,36,-,59,-,-,-,-,-,-,59,-,-,9,49,MC,110/1,Bet 365,Further details
Brandt Snedeker,-,-,-,-,-,53,51,32,-,66,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,600/1,Bet 365,Further details
Brendon Todd,-,-,-,-,-,MC,WD,-,78,MC,-,-,-,MC,-,MC,-,-,-,-,-,48,-,MC,1000/1,Bet 365,Further details
Christiaan Bezuidenhout,-,6,36,-,40,-,MC,-,40,4,39,-,-,-,-,-,-,-,-,-,-,25,42,MC,60/1,Bet 365,Further details
Daniel Berger,-,-,-,-,-,MC,21,MC,-,2,12,-,-,-,2,MC,MC,29,36,4,-,4,-,MC,22/1,Bet 365,Further details
Denny McCarthy,-,-,-,-,46,16,-,-,58,16,5,-,-,-,-,-,-,MC,MC,MC,3,30,MC,MC,33/1,Bet 365,Further details
Eric Cole,-,-,-,-,52,5,68,68,22,MC,MC,-,-,-,-,-,-,-,-,-,-,-,2,MC,75/1,Bet 365,Further details
Gary Woodland,-,-,-,-,-,16,-,-,22,21,MC,-,-,-,-,61,2,49,36,8,-,5,-,MC,50/1,Bet 365,Further details
Kevin Kisner,-,-,-,-,-,-,MC,-,-,MC,-,-,-,-,51,70,48,MC,-,-,-,-,-,MC,2500/1,Bet 365,Further details
Lee Hodges,-,-,-,-,-,10,34,9,33,57,-,-,-,-,-,-,-,-,-,-,-,9,14,MC,55/1,Bet 365,Further details
Matt Kuchar,-,-,-,-,-,21,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,100/1,Bet 365,Further details
Pierceson Coody,-,-,-,-,-,7^,-,MC,9^,2^,-,-,-,-,-,-,-,-,-,-,-,-,63,MC,90/1,Bet 365,Further details
Sepp Straka,-,9,-,-,15,30,1,-,7,15,MC,-,-,-,-,-,-,-,MC,27,33,1,5,MC,25/1,Bet 365,Further details
Sungjae Im,-,9,-,-,3,-,MC,4,33,57,MC,-,-,-,-,-,-,-,51,1,8,MC,42,MC,22/1,Bet 365,Further details
Taylor Pendrith,-,-,-,-,13,45,-,7,9,-,50,-,-,-,-,-,-,-,-,-,-,25,42,MC,28/1,Bet 365,Further details
Hayden Buckley,-,-,-,-,-,-,MC,WD,-,-,-,MC,-,-,-,-,-,-,-,69,-,MC,MC,MC,TBC,Bet 365,Further details
Justin Lower,-,-,-,-,-,37,3,MC,62,-,-,MC,-,-,-,-,-,-,-,-,-,64,-,MC,125/1,Bet 365,Further details
Luke List,-,-,-,-,-,72,MC,56,-,36,-,MC,-,-,-,10,52,2,MC,MC,MC,-,-,MC,225/1,Bet 365,Further details
Matt Wallace,-,-,-,-,-,-,45,MC,-,44,-,MC,-,-,-,-,-,-,20,MC,MC,-,29,MC,125/1,Bet 365,Further details
Matthias Schmid,-,-,59,-,-,MC,MC,25,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,200/1,Bet 365,Further details
Nate Lashley,-,-,-,-,-,37,MC,WD,-,MC,-,MC,-,-,-,-,-,MC,-,-,36,MC,-,MC,400/1,Bet 365,Further details
Nick Hardy,-,-,-,-,-,MC,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,MC,500/1,Bet 365,Further details
Patrick Fishburn,-,-,-,-,-,6,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Patton Kizzire,-,-,-,-,40,MC,MC,-,-,MC,-,MC,-,-,-,26,66,MC,MC,68,MC,-,-,MC,350/1,Bet 365,Further details
Ryan Palmer,-,-,-,-,-,MC,34,MC,-,77,-,MC,-,2,25,26,37,MC,4,17,-,70,MC,MC,750/1,Bet 365,Further details
Samuel Stevens,-,-,-,-,-,59,51,2,17,44,31,MC,-,-,-,-,-,-,-,-,-,55,MC,MC,TBC,Bet 365,Further details
Chandler Phillips,-,-,-,-,-,MC,MC,70,-,49,-,34,-,-,-,-,-,-,-,-,-,-,-,WD,150/1,Bet 365,Further details
