Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Taylor Moore,-,-,-,-,MC,7,56,22,9,-,34,42,-,-,-,-,-,-,-,-,-,42,39,48,TBC,Bet 365,Further details
Denny McCarthy,-,-,-,46,16,-,-,58,16,5,-,48,-,-,-,-,-,-,-,MC,26,61,-,48,75/1,Bet 365,Further details
Nick Dunlap,16,-,-,55,10,34,-,58,57,17,-,-,-,-,-,-,-,-,-,-,-,-,-,48,200/1,Bet 365,Further details
Matthieu Pavon,17,-,-,48,-,-,MC,73,63,44,-,42,-,-,-,-,-,-,-,-,-,-,-,52,350/1,Bet 365,Further details
Adam Hadwin,-,-,-,29,59,MC,-,65,9,MC,-,-,-,-,-,36,6,-,33,-,MC,-,MC,52,250/1,Bet 365,Further details
Tom Kim,2,-,-,-,65,MC,-,7,44,44,-,-,-,-,-,-,-,-,-,-,-,-,34,52,60/1,Bet 365,Further details
JT Poston,-,-,-,40,MC,12,-,53,16,39,-,-,-,-,-,-,-,-,66,MC,MC,-,-,55,100/1,Bet 365,Further details
Sepp Straka,9,-,-,15,30,1,-,7,15,MC,-,11,-,-,-,-,-,-,-,MC,MC,MC,MC,57,60/1,Bet 365,Further details
Joe Highsmith,-,-,-,-,MC,66,MC,-,MC,-,17,1,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
J.J Spaun,-,-,-,-,3,29,15,33,WD,34,-,2,-,-,-,-,49,-,63,-,-,52,MC,-,90/1,Bet 365,Further details
Jacob Bridgeman,-,-,-,-,MC,21,MC,-,MC,-,34,2,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Benjamin Griffin,-,-,-,-,45,7,MC,69,36,44,4,4,-,-,-,-,-,-,-,-,-,-,14,-,66/1,Bet 365,Further details
Max McGreevy,-,-,-,-,MC,MC,WD,-,MC,-,25,4,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Michael Kim,-,-,-,-,MC,43,MC,-,2,13,13,6,-,-,-,-,17,-,MC,-,-,-,-,-,60/1,Bet 365,Further details
Max Greyserman,-,-,-,24,-,7,48,WD,49,24,-,11,-,-,-,-,-,-,-,-,-,-,-,-,90/1,Bet 365,Further details
Alex Smalley,-,-,-,-,16,11,MC,-,21,-,10,18,-,-,-,-,-,-,-,-,-,38,MC,-,TBC,Bet 365,Further details
Billy Horschel,-,-,-,51,MC,21,-,9,MC,MC,-,25,-,43,43,20,13,54,50,36,MC,2,MC,-,80/1,Bet 365,Further details
Daniel Berger,-,-,-,-,MC,21,MC,-,2,12,-,25,-,-,13,-,-,-,MC,-,-,-,-,-,55/1,Bet 365,Further details
Isaiah Salinda,-,-,-,-,MC,MC,42,-,-,-,3,39,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Brian Campbell,-,-,-,-,WD,51,MC,-,-,-,1,48,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Jhonattan Vegas,-,-,-,4,-,MC,42,40,-,-,-,61,-,43,-,46,-,-,23,-,-,-,-,-,TBC,Bet 365,Further details
Aaron Rai,14,-,-,15,-,-,MC,40,-,37,4,-,-,-,-,-,-,-,-,-,-,MC,53,-,80/1,Bet 365,Further details
Akshay Bhatia,4,-,-,32,-,37,-,22,32,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,70/1,Bet 365,Further details
Aldrich Potgieter,2,42,-,-,MC,MC,15,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Jackson Koivun,-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Maverick McNealy,-,-,-,8,45,-,52,40,9,2,-,-,-,-,-,46,-,-,-,MC,49,73,-,-,45/1,Bet 365,Further details
Robert MacIntyre,7,-,-,15,53,17,-,40,6,MC,-,-,-,-,-,-,-,-,-,-,36,-,-,-,50/1,Bet 365,Further details
Samuel Stevens,-,-,-,-,59,51,2,17,44,31,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Thomas Detry,36,-,-,5,53,-,15,48,1,53,-,-,-,-,-,-,-,-,-,-,-,-,24,-,90/1,Bet 365,Further details
Tony Finau,-,-,-,15,-,MC,MC,13,-,5,-,-,-,-,MC,43,28,-,-,MC,-,-,24,-,50/1,Bet 365,Further details
Andrew Novak,-,-,-,-,MC,MC,3,13,MC,13,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Davis Thompson,-,-,-,36,MC,51,-,58,36,13,-,MC,-,-,-,-,-,-,-,-,-,42,53,-,80/1,Bet 365,Further details
Harry Hall,-,-,-,8,10,21,-,58,MC,-,34,MC,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Rafael Campos,-,-,-,57,MC,MC,MC,-,MC,-,34,MC,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Taylor Pendrith,-,-,-,13,45,-,7,9,-,50,-,MC,-,-,-,-,-,-,-,-,-,42,MC,-,66/1,Bet 365,Further details
Adam Scott,-,-,-,15,-,37,-,22,-,37,-,-,-,3,35,12,-,41,-,MC,-,26,31,MC,75/1,Bet 365,Further details
Collin Morikawa,-,-,-,2,-,-,-,17,-,17,-,-,-,-,-,-,-,64,-,9,-,-,MC,MC,18/1,Bet 365,Further details
Justin Rose,-,-,-,-,-,-,MC,3,-,MC,-,-,-,MC,-,9,13,3,63,MC,WD,MC,MC,MC,250/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,-,24,-,-,-,48,MC,49,-,-,-,MC,-,27,13,MC,2,9,10,9,14,MC,66/1,Bet 365,Further details
Tommy Fleetwood,-,-,-,-,-,21,-,22,-,5,-,-,-,-,-,-,10,26,3,MC,10,20,61,MC,28/1,Bet 365,Further details
